,text,text_final
102,"['relative', 'note', '@', 'flysfo', 'has', 'better', 'wifi', 'than', 'my', 'place', 'does']","['relative', 'wifi']"
103,"['thanks', 'for', 'the', 'lovely', 'invite', 'to', 'iowa', '.', 'found', 'this', 'gif', 'for', 'some', 'reason', '.', 'one', 'thing', 'for', 'sure', 'is', 'i', 'need', 'to', 'give', 'all', 'of', 'you', 'a', 'follow', 'pic.twitter.com/t3e5h9hm8f']","['thanks', 'lovely', 'iowa', 'find', 'one', 'give']"
104,"['love', 'the', 'picture', 'guys', 'its', 'very', 'tempting', 'pic.twitter.com/wanpyxkbtf']","['love', 'tempting']"
105,"['awww', '....', 'thank', 'you', 'for', 'the', 'invite', 'pic.twitter.com/nudqsad2cn']",['thank']
106,"['ah', 'yes', '....', 'i', 'pass', 'by', 'knoxville', 'a', 'few', 'times', 'a', 'year', '....', 'will', 'have', 'to', 'stop', 'by', 'sometime', '.', 'practically', 'neighbors', 'pic.twitter.com/gd9io9i2aj']","['knoxville', 'time', 'stop', 'sometime', 'practically', 'neighbor']"
107,"['my', 'last', 'trip', 'with', '@', 'virginamerica', ':', '(', 'unrelated', ':', 'tsa', 'continues', 'to', 'be', 'impressed', 'with', 'all', 'that', 'fits', 'into', 'the', '#', 'neverfull', 'bag', '.', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']","['last', 'unrelated', 'tsa', 'impress', 'fit', 'neverfull', 'bag']"
108,"['you', 'are', 'always', 'welcome', 'here', 'in', 'iowapic.twitter.com/fwbl0wkv90']",['always']
109,"['this', 'thread', 'got', 'me', 'thinking', '....', 'my', 'local', 'airport', 'doesn', '’', 't', 'have', 'a', 'twitter', 'account', '.', 'hmmm.pic.twitter.com/ogjryb8pav']",['local']
110,"['we', '’', 're', 'just', 'right', 'down', 'the', 'road']",[]
111,"['we', ""'re"", 'glad', 'you', ""'ve"", 'enjoyed', 'it']",['enjoy']
