,words,counts
1172,unlock,5.0
1173,upload,5.0
1174,usd,5.0
1175,user,5.0
1176,usgbcncc,5.0
1177,vend,5.0
1178,vintage,5.0
1179,vista,5.0
1180,vs,5.0
1181,walkway,5.0
1182,wash,5.0
1183,web,5.0
1184,wet,5.0
1185,wise,5.0
1186,womensmarch,5.0
1187,wth,5.0
1188,yield,5.0
1189,youtube,5.0
1190,ability,4.0
1191,abort,4.0
1192,abouttheglobe,4.0
1193,acaltitude,4.0
1194,acceptable,4.0
1195,acssanfran,4.0
1196,acterra,4.0
1197,adamparkhomenko,4.0
1198,advice,4.0
1199,agbecerra,4.0
1200,agreed,4.0
1201,ahhh,4.0
1202,airlivenet,4.0
1203,airporttherapydog,4.0
1204,aloha,4.0
1205,amateur,4.0
1206,andale,4.0
1207,antonio,4.0
1208,anxiously,4.0
1209,application,4.0
1210,appreciation,4.0
1211,arriving,4.0
1212,assistant,4.0
1213,association,4.0
1214,attn,4.0
1215,auto,4.0
1216,ave,4.0
1217,aware,4.0
1218,awhile,4.0
1219,aws,4.0
1220,aww,4.0
1221,balloon,4.0
1222,basically,4.0
1223,basis,4.0
1224,battle,4.0
1225,bbq,4.0
1226,bean,4.0
1227,beast,4.0
1228,beating,4.0
1229,belly,4.0
1230,benga,4.0
1231,berkeley,4.0
1232,berlinairport,4.0
1233,bicycle,4.0
1234,bizarre,4.0
1235,blanket,4.0
1236,bon,4.0
1237,boo,4.0
1238,booksincevents,4.0
1239,boom,4.0
1240,brb,4.0
1241,brin,4.0
1242,btwn,4.0
1243,bucket,4.0
1244,buena,4.0
1245,bummer,4.0
1246,burlingamecity,4.0
1247,businessclass,4.0
1248,bwi,4.0
1249,cahsra,4.0
1250,cal,4.0
1251,californian,4.0
1252,cap,4.0
1253,carbon,4.0
1254,caution,4.0
1255,certain,4.0
1256,certainly,4.0
1257,championship,4.0
1258,charlotte,4.0
1259,checkout,4.0
1260,cheeky,4.0
1261,chef,4.0
1262,chris,4.0
1263,clarify,4.0
1264,click,4.0
1265,climate,4.0
1266,clipper,4.0
1267,clothes,4.0
1268,clt,4.0
1269,clue,4.0
